slug,title,displayed_publication_year,doi_found_in_page,status,official_url,publication_date,date_precision,date_source,abstract,metadata_checked_at
bai-2024-dopant,From Dopant to Host: Solution Synthesis and Light-Emitting Applications of Organic-Inorganic Lanthanide-Based Metal Halides,2024,https://doi.org/10.1002/sstr.202400096,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1002/sstr.202400096,2024-05-07,day,Crossref published-online,"The rich and unique energy level structure arising from 4f n inner shell configuration of trivalent lanthanide ions (Ln 3+ ) renders them highly attractive for light‐emitting applications. Currently, research primarily focuses on Ln 3+ doping in either traditional garnets or the recently developed perovskite phosphors. However, there have been few reports on stable phosphors crystallized with pure lanthanide elements. Herein, a universal solution‐based route to eight Ln 3+ ‐based metal halides from the organic‐inorganic A 4 LnX 7 family is described, where A + = 4,4‐difluoropiperidinium (DFPD + ), Ln 3+ = Nd 3+ , Eu 3+ , Ho 3+ , Sm 3+ , Tm 3+ , Tb 3+ , Yb 3+ , Er 3+ , and X − = Cl − , Br − . Visible photoluminescence (PL) is observed from Tb 3+ ‐, Eu 3+ ‐, Ho 3+ ‐, and Sm 3+ ‐based compounds with Tb and Eu compositions exhibiting high PL quantum yields of 90–100%; Nd 3+ ‐, Tm 3+ ‐, Yb 3+ ‐, and Er 3+ ‐based crystals show fascinating near‐infrared emission. Light‐emitting diodes (LEDs) fabricated with (DFPD) 4 TbCl 7 yield characteristic emission of Tb 3+ , representing the first demonstration of electroluminescence from these organic‐inorganic Ln 3+ ‐based metal halides. Moreover, these materials exhibit distinct excitation wavelength‐dependent emission after alloying with different Ln 3+ ions, making them interesting for multicolor display and multilevel information encryption applications. It is foreseen that this study will open up the way to a possible design of robust optoelectronic devices based on lanthanide metal halides.",2026-05-03
bartesaghi-2018-partially,Partially replacing Pb2+ by Mn2+ in hybrid metal halide perovskites: Structural and electronic properties,2018,https://doi.org/10.1063/1.5060953,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1063/1.5060953,2018-12-13,day,Crossref published-online,"Tailoring the physical properties of hybrid lead metal halide APbX3 perovskites by means of compositional engineering is one of the key factors contributing to the development of highly efficient and stable perovskite solar cells. While the beneficial effects of partial ionic replacement at the A- and X-sites are largely demonstrated, partial replacement of Pb2+ is less explored. Here, we developed a solution-based procedure to prepare thin films of mixed-metal MAPb1-aMnaI3 perovskites. Although Mn2+ ions have a size that can potentially fit in the B-sites of MAPbI3, using a combination of structural and chemical analysis, we show that only less than 10% of Pb2+ can be replaced by Mn2+. A 3% replacement of Pb2+ by Mn2+ leads to an elongation of the charge carrier lifetimes as concluded from time-resolved PL measurements. However, by analysis of the time-resolved microwave conductance data, we show that the charge carrier mobilities are largely unbalanced, which is in accordance with density functional theory (DFT) calculations indicating that the effective mass of the hole is much higher than that of the electron. Increasing the concentration of Mn2+ in the precursor solution above 10% results in formation of amorphous Mn-rich domains in the film, while the perovskite lattice becomes depleted of Mn2+. These domains negatively affect the charge carrier mobilities and shorten the lifetime of photogenerated carriers. The resulting reduction in charge carrier diffusion lengths will severely limit the photovoltaic properties of solar cells prepared from these mixed metal halide perovskites.",2026-05-03
byeon-2023-structural,Structural Isomer of Fluorinated Ruddlesden-Popper Perovskites Toward Efficient and Stable 2D/3D Perovskite Solar Cells,2023,https://doi.org/10.1021/acsami.3c01754,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1021/acsami.3c01754,2023-06-05,day,Crossref published-online,,2026-05-03
caiazzo-2021-effect,Effect of Co-Solvents on the Crystallization and Phase Distribution of Mixed-Dimensional Perovskites (Adv. Energy Mater. 42/2021),2021,https://doi.org/10.1002/aenm.202102144,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1002/aenm.202102144,2021-10-05,day,Crossref published-online,"Abstract Solution‐processed quasi‐2D perovskites are promising for stable and efficient solar cells because of their superior environmental stability compared to 3D perovskites and tunable optoelectronic properties. Changing the number of inorganic layers ( n ) sandwiched between the organic spacers allows for tuning of the bandgap. However, narrowing the phase distribution around a specific n‐ value is a challenge. In‐situ UV–vis–NIR absorption spectroscopy is used to time‐resolve the crystallization dynamics of quasi‐2D butylammonium‐based (BA) perovskites with n > = 4, processed from N,N ‐dimethylformamide (DMF) in the presence of different co‐solvents. By combining with photoluminescence, transient absorption, and grazing‐incidence wide‐angle X‐ray scattering, the crystallization is correlated to the distribution of phases with different n ‐values. Infrared spectroscopy and density functional theory reveal that the phase distribution correlates with perovskite precursor—co‐solvent interaction energies and that stronger interactions shift the phase distribution towards smaller n‐ values. Careful tuning of the solvent/co‐solvent ratio provides a more homogeneous phase distribution, with highly oriented perovskite crystals and suppressed formation of n = 1–2 phases, providing a power conversion efficiency for BA 2 MA 3 Pb 4 I 13 solar cells that increases from 3.5% when processed from DMF to over 11% and 10% when processed from DMF/dimethyl sulfoxide and DMF/ N ‐methyl‐2‐pyrrolidone mixtures, respectively.",2026-05-03
cao-2020-alkali,Alkali-cation-enhanced benzylammonium passivation for efficient and stable perovskite solar cells fabricated through sequential deposition,2020,https://doi.org/10.1039/D0TA04680A,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1039/d0ta04680a,2020,year,Reviewed local CSV year,Compositional perovskites were developed by a sequential deposition method for highly efficient and stable solar cells. The inclusion of alkali cation and benzylammonium showed synergistic passivation-effect and demonstrated 22.5% efficiency with over 1500 h stability.,2026-05-03
chang-2022-boosting,"Boosting the solar conversion efficiency of MoSe2/PtX2 (X= O, S) vdW heterostructure by strain and electric field engineering",2022,https://doi.org/10.1088/1402-4896/ac9561,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1088/1402-4896/ac9561,2022-10-04,day,Crossref published-online,"Abstract Vertically stacking two-dimensional materials via weak van der Waals (vdW) forces is an effective strategy for modulating optoelectronic performance of materials. To accelerate more novel MoSe 2 -based heterostructure design, the interlayer coupling effect in MoSe 2 /PtX 2 (X = O, S) heterostructure has been systematically studied, from the atomic structure to the electronic and optical properties, on the basis of first-principles calculations and BSE model with scissor inclusion. Density functional theory (DFT) calculations unveil a type-II indirect bandgap measuring between 0.85 and 0.91 eV at HSE06 level, with Bader and charge density difference analyses suggesting occurrence of charge redistributions at the interface and electrons diffusion from MoSe 2 to PtX 2 layers, driven by large band offsets. The thermodynamic and thermal stabilities of the heterostructures are demonstrated by the negative binding energy and AIMD simulation. The heterostructure interface is influenced by the weak vdW coupling with an equilibrium interlayer distance of 3.01 to 3.08 Å and binding energy of −5.5 to −11.2 meV Å −2 , indicating an exothermic process and steady adhesion at the interface. Reasonable lattice mismatch that ranges from 1.5 to 4.7% between the vdW heterostructure and separate monolayers suggests good structure compatibility. The optical performance of the heterostructure was examined using the real and imaginary components of dielectric function, where enhanced light absorption of 10 4 –10 5 cm −1 and prominent peaks are observed encompassing the infrared to ultraviolet domains. Record high spectroscopic limited maximum efficiency (SLME) of ∼33% was also predicted. The absorption strength of MoSe 2 /PtO 2 and MoSe 2 /PtS 2 enhances with increasing negative external electric field (E ext ) and compressive strain, individually, inferring their optical properties modulation by E ext and biaxial strain. Both heterostructures present high carrier mobility up to 1322.98 cm 2 V −1 s −1 in zigzag direction.",2026-05-03
chang-2022-constructing,Constructing trifunctional MoTe 2/As van der Waals heterostructures for versatile energy applications,2022,https://doi.org/10.1039/D2NJ04297E,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1039/d2nj04297e,2022,year,Reviewed local CSV year,Trifunctional MoTe 2 /As has been designed to address the limitation of a single layer material.,2026-05-03
chang-2022-improved,Improved Thermoelectric--Photovoltaic Performance of Ag2Se Originating from a Halogenation-Induced Wider Band Gap and Low Crystal Symmetry,2022,https://doi.org/10.1021/acsaem.2c00438,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1021/acsaem.2c00438,2022-04-22,day,Crossref published-online,,2026-05-03
chang-2022-prediction,Prediction of stable silver selenide-based energy materials sustained by rubidium selenide alloying,2022,https://doi.org/10.1039/D2NJ04421H,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1039/d2nj04421h,2022,year,Reviewed local CSV year,Silver selenide (Ag 2 Se) is a ductile material with a low lattice thermal conductivity that can be a valuable substitute for both PbSe and Bi 2 Se 3 for Pb toxicity free and Bi scarcity.,2026-05-03
chang-2023-achieving,Achieving type-II SnSSe/as van der waals heterostructure with satisfactory oxygen tolerance for optoelectronic and photovoltaic applications,2023,https://doi.org/10.1016/j.jssc.2023.123925,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1016/j.jssc.2023.123925,2023,year,Reviewed local CSV year,,2026-05-03
chang-2023-forecasting,Forecasting the unrevealed surface-controlled photocatalytic water splitting in two-dimensional Ag 2 Se with ultrafast carrier mobility: a first-principles study,2023,https://doi.org/10.1039/D3CY00628J,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1039/d3cy00628j,2023,year,Reviewed local CSV year,It has been hypothesized that a thermodynamically feasible Ag 2 Se monolayer could be a potential candidate for photocatalytic water splitting.,2026-05-03
chang-2023-strain,Strain-Induced SiP--PtS2 Heterostructure with Fast Carrier Transport for Boosted Photocatalytic Hydrogen Conversion,2023,https://doi.org/10.1021/acs.jpcc.3c02431,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1021/acs.jpcc.3c02431,2023-06-23,day,Crossref published-online,,2026-05-03
chang-2024-adsorption,Adsorption and reversible detection of toxic halogens gases at room temperature by two-dimensional Al2SSe for occupational sustainability,2024,https://doi.org/10.1016/j.mtcomm.2024.108623,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1016/j.mtcomm.2024.108623,2024,year,Reviewed local CSV year,,2026-05-03
chang-2025-activating,"Activating the Screened Thermoelectric and Photocatalytic Water-Splitting Potential in Janus Sn2XY (X$ne$ Y= Te, Se, and S) Monolayers via Doping and Strain Engineering",2025,https://doi.org/10.1021/acs.jpcc.4c06561,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1021/acs.jpcc.4c06561,2025-01-09,day,Crossref published-online,,2026-05-03
chang-2025-evidence,Evidence of the As/PtSe2 Heterostructure with a Robust Built-In Electric Field as a Competitive Z-Scheme Photocatalyst for Overall Water Splitting,2025,https://doi.org/10.1021/acs.jpcc.5c00818,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1021/acs.jpcc.5c00818,2025-03-13,day,Crossref published-online,,2026-05-03
chang-2025-unlocking,"Unlocking the porous, anomalous narrow band gap inorganic graphenylene-like CuO monolayer with post oxidation advantage for thermophotovoltaic and solar cell",2025,https://doi.org/10.1016/j.surfin.2024.105588,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1016/j.surfin.2024.105588,2025,year,Reviewed local CSV year,,2026-05-03
chen-2015-ab,"Ab InitioStudy of Temperature, Humidity, and Covalent Functionalization-Induced Bandgap Change of Single-Walled Carbon Nanotubes",2015,https://doi.org/10.1109/LED.2015.2425046,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1109/led.2015.2425046,2015,year,Reviewed local CSV year,,2026-05-03
chen-2015-first,First-principles study of the effect of functional groups on polyaniline backbone,2015,https://doi.org/10.1038/srep16907,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1038/srep16907,2015-11-20,day,Crossref published-online,"Abstract We present a first-principles density functional theory study focused on how the chemical and electronic properties of polyaniline are adjusted by introducing suitable substituents on a polymer backbone. Analyses of the obtained energy barriers, reaction energies and minimum energy paths indicate that the chemical reactivity of the polyaniline derivatives is significantly enhanced by protonic acid doping of the substituted materials. Further study of the density of states at the Fermi level, band gap, HOMO and LUMO shows that both the unprotonated and protonated states of these polyanilines are altered to different degrees depending on the functional group. We also note that changes in both the chemical and electronic properties are very sensitive to the polarity and size of the functional group. It is worth noting that these changes do not substantially alter the inherent chemical and electronic properties of polyaniline. Our results demonstrate that introducing different functional groups on a polymer backbone is an effective approach to obtain tailored conductive polymers with desirable properties while retaining their intrinsic properties, such as conductivity.",2026-05-03
chen-2015-molecular,Molecular Modeling of pH-Dependent Properties of Emeraldine Base Polyaniline for pH-Based Chemical Sensors,2015,https://doi.org/10.1007/978-3-319-12862-7_1,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1007/978-3-319-12862-7_1,2014-11-07,day,Crossref published-online,,2026-05-03
chen-2016-ab,Ab initio study of the adsorption of small molecules on stanene,2016,https://doi.org/10.1021/acs.jpcc.6b04481,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1021/acs.jpcc.6b04481,2016-06-24,day,Crossref published-online,,2026-05-03
chen-2016-effect,"Effect of multilayer structure, stacking order and external electric field on the electrical properties of few-layer boron-phosphide",2016,https://doi.org/10.1039/C6CP01083K,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1039/c6cp01083k,2016,year,Reviewed local CSV year,Development of nanoelectronics requires two-dimensional (2D) systems with both direct-bandgap and tunable electronic properties as they act in response to the external electric field ( E -field).,2026-05-03
chen-2016-electrical,Electrical and optical properties of germanene on single-layer BeO substrate,2016,https://doi.org/10.1021/acs.jpcc.6b06161,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1021/acs.jpcc.6b06161,2016-09-02,day,Crossref published-online,,2026-05-03
chen-2016-electronic,The electronic and optical properties of silicene/g-ZnS heterobilayers: a theoretical study,2016,https://doi.org/10.1039/C6TC01468B,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.,https://doi.org/10.1039/c6tc01468b,2016,year,Reviewed local CSV year,The electronic and optical properties of silicene/g-ZnS heterobilayers were systematically investigated by using density functional theory calculations.,2026-05-03
